id,format,category,subcategory,difficulty,title,body,code_snippet,code_language,options,correct_answer,hint_1,hint_2,explanation,explanation_code,reference_url,is_active,times_served,times_correct,created_at
753d02fb-d699-45d9-bb4d-9769fb579a3c,code_output,javascript,closures,1,다음 코드의 출력 결과는 무엇인가요?,클로저의 기본 동작 원리를 확인하는 문제입니다.,"function outer() {
  let count = 0;
  return function inner() {
    count++;
    return count;
  };
}
const fn = outer();
console.log(fn());
console.log(fn());",javascript,"[{""id"":""a"",""text"":""1, 1"",""isCorrect"":false},{""id"":""b"",""text"":""1, 2"",""isCorrect"":true},{""id"":""c"",""text"":""0, 1"",""isCorrect"":false},{""id"":""d"",""text"":""undefined, undefined"",""isCorrect"":false}]",b,클로저는 외부 함수의 변수를 기억합니다.,"inner 함수는 outer의 count 변수 참조를 유지하며, 호출될 때마다 같은 count를 증가시킵니다.","클로저는 함수가 선언된 렉시컬 환경을 기억합니다. outer()를 호출하면 count가 0으로 초기화되고 inner 함수가 반환됩니다. fn()을 처음 호출하면 count가 1이 되고, 두 번째 호출하면 2가 됩니다.","// outer() 호출 → Closure { count: 0 }
// fn() 첫 번째 호출 → count++ → 1 반환
// fn() 두 번째 호출 → count++ → 2 반환",https://developer.mozilla.org/ko/docs/Web/JavaScript/Closures,true,0,0,2026-02-23 06:46:08.851578+00
a0cbc7cd-01da-46e6-8be7-ce041dfbc7a0,multiple_choice,javascript,scope,1,JavaScript에서 'let'과 'var'의 가장 큰 차이점은 무엇인가요?,,null,javascript,"[{""id"":""a"",""text"":""let은 재할당이 불가능하고 var는 가능하다"",""isCorrect"":false},{""id"":""b"",""text"":""let은 블록 스코프이고 var는 함수 스코프이다"",""isCorrect"":true},{""id"":""c"",""text"":""let은 호이스팅되지 않고 var는 호이스팅된다"",""isCorrect"":false},{""id"":""d"",""text"":""let은 전역 객체에 바인딩되고 var는 그렇지 않다"",""isCorrect"":false}]",b,스코프(scope)의 범위 차이를 생각해보세요.,"var는 함수 단위로 스코프가 결정되고, let은 중괄호 {} 블록 단위로 결정됩니다.","let은 블록 스코프, var는 함수 스코프입니다. let도 호이스팅되지만 TDZ로 인해 선언 전 접근이 불가합니다. const가 재할당 불가이며 let은 재할당 가능합니다.","if (true) {
  var a = 1;
  let b = 2;
}
console.log(a); // 1
console.log(b); // ReferenceError",https://developer.mozilla.org/ko/docs/Web/JavaScript/Reference/Statements/let,true,0,0,2026-02-23 06:46:08.851578+00
e40794bd-b4b3-4a1b-b0ef-6c65183cc02e,true_false,javascript,es6,2,화살표 함수(Arrow Function)는 자체적인 this 바인딩을 가진다.,화살표 함수의 this 동작 방식에 대한 문제입니다.,null,javascript,null,false,화살표 함수의 this가 어디서 결정되는지 생각해보세요.,화살표 함수는 자신만의 this를 생성하지 않고 상위 스코프의 this를 그대로 사용합니다.,"화살표 함수는 자체 this 바인딩이 없으며 렉시컬 스코프의 this를 상속받습니다. call(), apply(), bind()로도 this를 변경할 수 없습니다.","const obj = {
  name: 'DevRank',
  regular: function() { console.log(this.name); },
  arrow: () => { console.log(this.name); }
};
obj.regular(); // 'DevRank'
obj.arrow();   // undefined",https://developer.mozilla.org/ko/docs/Web/JavaScript/Reference/Functions/Arrow_functions,true,0,0,2026-02-23 06:46:08.851578+00
95ad6c57-a30c-42f3-b762-2d2582ebd064,multiple_choice,typescript,basic_types,1,TypeScript에서 'unknown'과 'any' 타입의 차이점으로 올바른 것은?,,null,typescript,"[{""id"":""a"",""text"":""unknown은 모든 타입에 할당 가능하고 any는 그렇지 않다"",""isCorrect"":false},{""id"":""b"",""text"":""any는 타입 검사를 비활성화하고 unknown은 사용 전 타입 좁히기가 필요하다"",""isCorrect"":true},{""id"":""c"",""text"":""unknown과 any는 동일하게 동작한다"",""isCorrect"":false},{""id"":""d"",""text"":""unknown은 null과 undefined만 포함한다"",""isCorrect"":false}]",b,타입 안전성 관점에서 생각해보세요.,unknown 타입 변수의 메서드를 호출하려면 먼저 타입을 확인해야 합니다.,"any는 타입 검사를 완전히 비활성화하고, unknown은 모든 값을 받을 수 있지만 사용 전 typeof 등으로 타입을 좁혀야 합니다. unknown이 더 안전한 대안입니다.","let a: any = 10;
a.foo(); // 컴파일 OK, 런타임 에러

let b: unknown = 10;
if (typeof b === 'number') {
  b.toFixed(2); // OK
}",https://www.typescriptlang.org/docs/handbook/2/types.html,true,0,0,2026-02-23 06:46:08.851578+00
a8814c28-144f-401f-a059-b75f22e9d972,code_output,react,hooks,2,버튼 클릭 시 handleClick이 실행되면 화면에 표시되는 count 값은?,,"function Counter() {
  const [count, setCount] = useState(0);
  const handleClick = () => {
    setCount(count + 1);
    setCount(count + 1);
    setCount(count + 1);
  };
  return <button onClick={handleClick}>{count}</button>;
}",javascript,"[{""id"":""a"",""text"":""3"",""isCorrect"":false},{""id"":""b"",""text"":""9"",""isCorrect"":false},{""id"":""c"",""text"":""1"",""isCorrect"":true},{""id"":""d"",""text"":""0"",""isCorrect"":false}]",c,React의 state 업데이트 배칭을 생각해보세요.,setCount(count + 1)에서 count는 현재 렌더링의 클로저 값(0)을 참조합니다.,세 번의 setCount 모두 같은 클로저의 count(0)를 참조하므로 setCount(1)이 세 번 호출되어 결과는 1입니다. 함수형 업데이트 setCount(prev => prev + 1)을 사용하면 3이 됩니다.,"// 함수형 업데이트로 해결
const handleClick = () => {
  setCount(prev => prev + 1); // 0 → 1
  setCount(prev => prev + 1); // 1 → 2
  setCount(prev => prev + 1); // 2 → 3
};",https://react.dev/learn/queueing-a-series-of-state-updates,true,0,0,2026-02-23 06:46:08.851578+00
92a8c6b5-4936-4be1-b1e1-ebd8a1e0af12,true_false,react,hooks,2,useEffect의 클린업 함수는 컴포넌트가 언마운트될 때만 실행된다.,,null,javascript,null,false,의존성 배열이 변경될 때 어떤 일이 일어나는지 생각해보세요.,클린업 함수는 다음 이펙트가 실행되기 전에도 호출됩니다.,"클린업 함수는 (1) 컴포넌트 언마운트 시, (2) 의존성 변경으로 이펙트가 재실행되기 전에 호출됩니다.","useEffect(() => {
  const id = setInterval(() => console.log(count), 1000);
  return () => clearInterval(id); // count 변경 시에도 실행
}, [count]);",https://react.dev/learn/synchronizing-with-effects,true,0,0,2026-02-23 06:46:08.851578+00
6397339e-5144-4f37-81c7-6e009e2e1775,code_output,javascript,async,3,다음 코드의 콘솔 출력 순서는?,이벤트 루프와 비동기 처리 순서를 이해하는 문제입니다.,"console.log('1');
setTimeout(() => console.log('2'), 0);
Promise.resolve().then(() => console.log('3'));
console.log('4');",javascript,"[{""id"":""a"",""text"":""1, 2, 3, 4"",""isCorrect"":false},{""id"":""b"",""text"":""1, 4, 3, 2"",""isCorrect"":true},{""id"":""c"",""text"":""1, 4, 2, 3"",""isCorrect"":false},{""id"":""d"",""text"":""1, 3, 4, 2"",""isCorrect"":false}]",b,마이크로태스크와 매크로태스크의 우선순위를 생각해보세요.,"Promise의 then은 마이크로태스크 큐에, setTimeout은 매크로태스크 큐에 들어갑니다. 마이크로태스크가 먼저 실행됩니다.","동기 코드(1, 4)가 먼저 실행되고, 마이크로태스크(Promise → 3)가 매크로태스크(setTimeout → 2)보다 우선 실행됩니다.","// 실행 순서:
// 1. 콜 스택: console.log('1') → 출력 1
// 2. setTimeout → 매크로태스크 큐에 등록
// 3. Promise.then → 마이크로태스크 큐에 등록
// 4. 콜 스택: console.log('4') → 출력 4
// 5. 마이크로태스크: console.log('3') → 출력 3
// 6. 매크로태스크: console.log('2') → 출력 2",https://developer.mozilla.org/ko/docs/Web/JavaScript/Event_loop,true,0,0,2026-02-23 06:46:08.851578+00
0590402f-3490-4566-8942-fcd73b432cf0,multiple_choice,typescript,generics,3,다음 TypeScript 제네릭 함수에서 T의 역할로 올바른 설명은?,,"function identity<T>(arg: T): T {
  return arg;
}
const result = identity<string>('hello');",typescript,"[{""id"":""a"",""text"":""T는 런타임에 타입 정보를 전달하는 변수이다"",""isCorrect"":false},{""id"":""b"",""text"":""T는 컴파일 타임에만 존재하는 타입 매개변수로, 입력과 출력의 타입 관계를 보장한다"",""isCorrect"":true},{""id"":""c"",""text"":""T는 any 타입의 별칭이다"",""isCorrect"":false},{""id"":""d"",""text"":""T는 반드시 명시적으로 전달해야 하며 추론될 수 없다"",""isCorrect"":false}]",b,제네릭은 타입의 재사용성과 안전성을 동시에 제공합니다.,"T는 함수 호출 시 결정되며, 입력 타입과 반환 타입 사이의 관계를 컴파일러가 추적할 수 있게 합니다.","제네릭 타입 매개변수 T는 컴파일 타임에만 존재하며, 입력과 출력 타입의 관계를 보장합니다. T는 추론될 수도 있고 명시적으로 전달할 수도 있습니다. any와 달리 타입 안전성을 유지합니다.","// T가 추론되는 경우
const a = identity('hello'); // T = string 추론
// T를 명시하는 경우
const b = identity<number>(42); // T = number",https://www.typescriptlang.org/docs/handbook/2/generics.html,true,0,0,2026-02-23 06:46:08.851578+00
c9efe644-dfe1-4a48-8c99-635e46735e6a,multiple_choice,react,performance,3,React.memo의 동작 방식으로 올바른 것은?,,null,javascript,"[{""id"":""a"",""text"":""컴포넌트의 state 변경을 방지한다"",""isCorrect"":false},{""id"":""b"",""text"":""props가 변경되지 않으면 리렌더링을 건너뛴다"",""isCorrect"":true},{""id"":""c"",""text"":""컴포넌트를 메모리에 캐시하여 마운트 속도를 높인다"",""isCorrect"":false},{""id"":""d"",""text"":""useEffect의 실행을 최적화한다"",""isCorrect"":false}]",b,React.memo는 고차 컴포넌트(HOC)입니다.,이전 props와 새 props를 얕은 비교(shallow comparison)하여 같으면 이전 렌더링 결과를 재사용합니다.,"React.memo는 props의 얕은 비교를 수행하여, props가 변경되지 않으면 리렌더링을 건너뛰고 이전 결과를 재사용합니다. 두 번째 인자로 커스텀 비교 함수를 전달할 수 있습니다.","const MemoChild = React.memo(function Child({ name }) {
  console.log('렌더링');
  return <div>{name}</div>;
});
// name prop이 변경되지 않으면 '렌더링'이 출력되지 않음",https://react.dev/reference/react/memo,true,0,0,2026-02-23 06:46:08.851578+00
29d33365-30b6-4103-a2cb-186af5990a65,code_output,javascript,prototypes,3,다음 코드의 출력 결과는?,,"const arr = [1, 2, 3];
console.log(typeof arr);
console.log(arr instanceof Array);
console.log(arr instanceof Object);",javascript,"[{""id"":""a"",""text"":""\""array\"", true, false"",""isCorrect"":false},{""id"":""b"",""text"":""\""object\"", true, true"",""isCorrect"":true},{""id"":""c"",""text"":""\""object\"", true, false"",""isCorrect"":false},{""id"":""d"",""text"":""\""array\"", true, true"",""isCorrect"":false}]",b,JavaScript에서 배열은 특수한 형태의 객체입니다.,"typeof는 배열에 대해 'object'를 반환하며, 프로토타입 체인에서 Array는 Object를 상속합니다.",typeof로 배열을 확인하면 'object'가 반환됩니다. 배열은 Array의 인스턴스이면서 프로토타입 체인을 통해 Object의 인스턴스이기도 합니다. 배열 여부 확인은 Array.isArray()를 사용하세요.,"// 배열 확인 방법
Array.isArray([1,2,3]); // true
typeof [1,2,3]; // 'object' (주의!)
// 프로토타입 체인: arr → Array.prototype → Object.prototype",https://developer.mozilla.org/ko/docs/Web/JavaScript/Reference/Operators/typeof,true,0,0,2026-02-23 06:46:08.851578+00
